id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined
18,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:13:30.896625+00:00,False,user17,Kelvin,Lai,123@140.com,False,True,2025-06-16 14:52:27.925134+00:00
22,pbkdf2_sha256$1000000$Asl6GIFEnpu2y6zniJ6XVO$9/ftpgywk8zEogQ1we30jdbbFAacj9OmknagovA2wZk=,2025-06-22 03:00:38.060168+00:00,False,User21,Rose,Rosie,123@144.com,False,True,2025-06-22 03:00:37.930706+00:00
4,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 03:59:24.801113+00:00,False,user3,Peter,Parker,123@126.com,False,True,2025-06-16 14:52:27.925134+00:00
5,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:00:21.766056+00:00,False,user4,King,Jack,123@127.com,False,True,2025-06-16 14:52:27.925134+00:00
7,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:01:48.043286+00:00,False,user6,Mark,Chan,123@129.com,False,True,2025-06-16 14:52:27.925134+00:00
8,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:03:17.818953+00:00,False,user7,Ken,Chan,123@130.com,False,True,2025-06-16 14:52:27.925134+00:00
9,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:04:18.536882+00:00,False,user8,Mary,Chu,123@131.com,False,True,2025-06-16 14:52:27.925134+00:00
10,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:05:28.763515+00:00,False,user9,Mandy,Tang,123@132.com,False,True,2025-06-16 14:52:27.925134+00:00
11,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:06:14.363263+00:00,False,user10,Chris,Lam,123@133.com,False,True,2025-06-16 14:52:27.925134+00:00
12,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:07:27.196762+00:00,False,user11,Raymond,Yu,123@134.com,False,True,2025-06-16 14:52:27.925134+00:00
13,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:08:20.563632+00:00,False,user12,Edmend,Wu,123@135.com,False,True,2025-06-16 14:52:27.925134+00:00
14,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:09:11.077452+00:00,False,user13,Rebacca,Tsui,123@136.com,False,True,2025-06-16 14:52:27.925134+00:00
15,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:10:00.151093+00:00,False,user14,Ada,Wong,123@137.com,False,True,2025-06-16 14:52:27.925134+00:00
16,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:10:59.171489+00:00,False,user15,Clarie,Lam,123@138.com,False,True,2025-06-16 14:52:27.925134+00:00
17,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:11:57.634500+00:00,False,user16,David,Tao,123@139.com,False,True,2025-06-16 14:52:27.925134+00:00
19,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:14:24.398028+00:00,False,user18,Eddie,Man,123@141.com,False,True,2025-06-16 14:52:27.925134+00:00
1,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:19:05.339714+00:00,True,admin,,,123@123.com,True,True,2025-06-16 14:52:27.925134+00:00
2,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:48:24.354271+00:00,False,user1,Amy,Lee,123@124.com,False,True,2025-06-16 14:52:27.925134+00:00
3,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:50:27.266911+00:00,False,user2,John,Lennon,123@125.com,False,True,2025-06-16 14:52:27.925134+00:00
6,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:51:35.717461+00:00,False,user5,JoJo,Joster,123@128.com,False,True,2025-06-16 14:52:27.925134+00:00
21,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:54:07.539075+00:00,False,user20,Lisa,Lisa,123@143.com,False,True,2025-06-16 14:52:27.925134+00:00
20,pbkdf2_sha256$1000000$yxGBC4NHQMcmmFSAqR24cX$GWx3KKoMOaxAWXkWU5MQwXgzlIadJTnHMjaTX/T83Cs=,2025-06-22 04:54:43.325995+00:00,False,user19,Jennie,Jennie,123@142.com,False,True,2025-06-16 14:52:27.925134+00:00
